,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
121,Stephen Elliott,All Products,make sure vmwareare addresses each persona it values are different that ceo values ,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
122,Stephen Elliott,All Products,vmwareare journey engage advocate recommend purchaseonboard implement adopt use renew optimizeinnovate,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
123,Stephen Elliott,All Products,discrete connection   understand what get business cost containment cost reduction productivity security driving increased customer satisfaction decreased customer churn connect the tech to the outcomes  translation layer between the technology and business outcome ,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
124,Stephen Elliott,All Products,vendors who have trusted relationship during this pandemic will win,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
125,Stephen Elliott,All Products,business outcomes can deliver at product level and where customers are on journey ,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
126,Stephen Elliott,All Products,maturity challenge for large companies and it is state of the market complexity but a natural evolution look at portfolio   simplify strategic bundling certain group of buyers attached to specific bundles complexity of sales cycles product rationalization educate sales teams on value and business outcomes across those in the deal,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
127,Paul Webber,Carbon Black Cloud,given two products in an even bake off that rogue system detection could tip the balance particularly people that are not in control of their estate banks etc would not care if they have tanium for example but distributed networks dont have good central governance would say look i have a lot of systems on my network that i would want to get better control of,6/8/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
128,Chris Sherman,Carbon Black Cloud,i think you guys are on a very strong track its you and microsoft right now that are the biggest in my space it used to be symantec but i dont think people are talking about symantec as much and of course everyone is jumping ship there same with mcafee they just dont get inquired about as much i think you guys   with your several acquisitions  youre very well positioned to jump onto the trends ive mentioned in my research this is the direction everyone has to be going in,6/11/2020,Positive,Strategy,2020.2,FY21 Q2
129,Brad LaPorte,Carbon Black Cloud,both acquisitions are very positive imho i was tracking ocatrine as a major contender since january this year and figured someone would scoop them up ive been working with lastline as long as carbon black 2013 so this is another big win especially given their long embedded relationship with secureworks and the dell mothership great selections for building out a competitive xdr portfolio biggest challenge you will have to contend with is overcoming buyer concerns that having too many acquisitions is not always perceived as a positive you will need to show tight and seamless integration in order to be successful ,6/8/2020,Positive,Strategy,2020.2,FY21 Q2
130,Eric Slack,vSphere 7 with K8s,eric was highly supportive of our plan to license vsphere 7 without a requirement to have vcf ,6/1/2020,Positive,Pricing/packaging,2020.2,FY21 Q2
