,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
131,Thomas Bittman,Edge, vmwareare has a wide open opportunity in the edge space vmware has historically been great at managing remote or distant environments and the company already has assets to manage and enable mobility bringing those two elements together says thomas would make vmware very competitive in the iot and edge space,6/3/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
132,Thomas Bittman,vSphere 7 with K8s,there arent too many serious competitors in this space microsoft has been using hyperv as an onramp to azure for a while now he said there is some nipping around the edges from players looking to put management of virtual environments at the forefront vendors here would be nutanix and acropolis thomas says these are a very small threat ,6/3/2020,Positive,Competitive mentions/intel,2020.2,FY21 Q2
133,Phillip Dawson,BitFusion, phil doesnt believe ai should be part of infrastructure and believes it is just marketing ,6/4/2020,Advice,Messaging,2020.2,FY21 Q2
134,Phillip Dawson,BitFusion,believes vmwareare needs to do templating to help automate different paas elements  ex refinement for paas offering like kubernetes across the vmware framework,6/4/2020,Advice,Messaging,2020.2,FY21 Q2
135,Phillip Dawson,BitFusion,liked pauls use of the term balancing when talking about infrastructure resilience he believes bitfusion has availability balancing not quite load balancing yet but is getting there,6/4/2020,Advice,Messaging,2020.2,FY21 Q2
136,Phillip Dawson,vSphere 7 with K8s, phill believes that we compete with oracle products but are complimentary to saps products ,6/4/2020,Advice,Competitive mentions/intel,2020.2,FY21 Q2
137,Angelina Troy,BitFusion,felt the vsphere 7 on kubernetes demo was quite good appreciated the teams time to show her this info,6/5/2020,Positive,Strategy,2020.2,FY21 Q2
138,Julia Palmer,BitFusion,julia believes the market and customer will need to manage gpus with bitfusion and thinks that bitfusion does what a lot of composable infrastructure already does uses it for workloads and then releases it when done,6/5/2020,Neutral,Customer Related,2020.2,FY21 Q2
139,Andrew Buss,vSphere 7 with K8s,wondered whether vmotion was still restricted to particular vendors he has heard quite a lot of feedback that initially that it wasnt as compatible with intel and others,6/16/2020,Negative,Adoption,2020.2,FY21 Q2
140,Russ Fellows,vSphere 7 with K8s,was aware of the vsphere 70 update and said it made sense he noted this model is making it better because its a workload perspective vs a machine perspective he also wondered since kubernetes support requires vcloud foundation would the offering also require nsx and any storage ex vsan,6/17/2020,Negative,Features or products (included/missing/recommended),2020.2,FY21 Q2
141,Dennis Smith,vSphere 7 with K8s,was skeptical that the ga release of kubernetes in vsphere 7 on april 7 was solid and wanted to know if vmwareare had any real customers in production on it,6/22/2020,Negative,Customer Related,2020.2,FY21 Q2
142,Michael Warrilow,Tanzu, michael commented that he finds tanzu difficult to understandi dont understand tanzu at all,6/22/2020,Negative,Messaging,2020.2,FY21 Q2
143,Chirag Dekate,BitFusion, chirag confirmed gtm is working and that end users are bringing up bitfusionthink gtm seems to be working end users are bringing up bitfusion which is quite impressive,6/23/2020,Positive,Marketing Awareness,2020.2,FY21 Q2
144,Chirag Dekate,BitFusion,said hes seeing vmwareare customers looking to expand with bitfusion but not from dell side,6/23/2020,Positive,Customer Related,2020.2,FY21 Q2
145,Chris Gardner,BitFusion,chris liked we have security as a focus for our product roadmap he said that every other conversation he has about ai in the io space is security related ,6/23/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
146,Chris Gardner,BitFusion, chris feedback on how to improve our messaginglanguage seemed very io centric and not speaking to data scientistsheard a little on how do we make this relevant to the data scientists in the world it was very io centric speaking to former vmwareare admins and a language of enterprise data centers does the average data scientist understand if it is valuablewe should include why this solution is try importantall they are hearing is that this is going to be a better use of resources and its something scientists data architects will like they dont understand all of the technical capabilities automation and how this will change the way they operate,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
147,Brian Adler,CloudHealth,gartners brian adler is seeing a large increase in inquiries around oracle cloud infrastructure  glad you are getting in there as demand is increasing  the biggest drawback of oracle cloud infrastructure had been not enough tools integrating with it  this is great to see and that some tools are getting into the space,6/2/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
148,Brian Adler,CloudHealth,gartners brian adler agreed with seeing an increase in popularity in compute savings plans that confirms what i would suspect but it is great to get validation,6/2/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
149,Brian Betts,CloudHealth,freeform dynamics bryan betts suggested looking beyond large american clouds for integrations  look at smaller and regional clouds  vmwareare gives you more resources to look beyond,6/2/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
150,Craig Lowery,CloudHealth,gartners craig lowery was glad to see expansion to include oracle cloud infrastructure,6/2/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
151,Craig Lowery,CloudHealth,interested in details on how cloudhealth will grow beyond costing  also asked how does cloudhealth improve upon aws cost explorer cloudhealth responded we provide multicloud and get recommendations across azure gcp  its a greater level of detail,6/2/2020,Neutral,Features or products (included/missing/recommended),2020.2,FY21 Q2
152,Sam Higgins,CloudHealth,forresters sam higgins saw alignment with cloudhealths cloud maturity curve we are seeing folks looking to take next steps with telemetry in cloud maturity and analysis on policy actions ,6/2/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
153,Sam Higgins,CloudHealth,forresters sam higgins agreed reservation management is a big deal its interesting as it pops up in inquiries,6/2/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
154,Tracy Woo,CloudHealth,positive feedback from forresters tracy woo good aesthetic of the presentation  i really like the metrics and would like more including business metrics  i also like the percentage usage  great to see the innovations  last week was very valuable and this expanded with the innovations,6/9/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
155,Scot MacLellan,CloudHealth,with regard to the cloudhealth updates in q2 gartners scot maclellan complimented with a very good briefing,6/9/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
156,Stephen Elliot,CloudHealth,growing personas is a good opportunity to expand your footprint,6/11/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
157,Stephen Elliot,CloudHealth,seems like a calculator would be a good addon reminds me of when vmwareare came to market  a program where you pump workshops out to help with cloud maturity and highlight knowledge of what you are doing  a great opportunity to show impact savings you can do workshops virtually or with partners customers are looking across  you have the installed base to land and expand in lots of areas where competitors cant do it,6/11/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
158,Stephen Elliot,CloudHealth,opportunity to market with tanzu observability  the more connective tissue you have with them gives more opportunity to land and expand with tentacles across the portfolio its another way to elevate in the vmwareare portfolio,6/11/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
159,Stephen Elliot,CloudHealth,there are two sides of the cloud discussion right now  one side is run the business and the other side is investing in more innovation increased agility  you do a good job of talking about running the business he recommends a few slides or case studies focused on the innovations including tanzu,6/11/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
160,Ed Anderson,CloudHealth,gartners ed anderson stated that the briefing was very helpful i really like the insights related to covid impact,6/15/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
161,Alan Waite,CloudHealth,gartners alan waite was positive that cloudhealth is now part of the cmbu its how integration really happens  ,6/15/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
